Manx,English,Notes
YN DOSSAN AALIN DY SMEIR-GHOO,THE BONNY BUNCH OF BLACKBERRIES.,
". Va shenn ven voght dy row,  foddey er dy henney. as ren ee feddyn shey pingyn argid-ghlass, er shen hie ee dys y vargey as chionnee ee mannan. Tra v’ee çheet thie, honnick ee dossan aalin dy smeir-ghoo, as dooyrt ee:","     There was a poor old woman , long ago, and she found a silver sixpence, so she went to the fair and bought a kid. When she coming home she saw a bonny bunch 0f blackberries, and she said:",
"     “Vannan, vannan, gow harrish y cleiy as fow yn dossan aalin dy smeir-ghoo shen dooys.”","     “Kid, kid, go over the hedge and get that bonny bunch of blackberries.”",
,,
      As dooyrt y mannan. “Cha jean.” ,"     And the kid said, “I won't.”",
"     Hie ee roee, as haink ee dys moddey.","     She went her way, and she- came to a dog.",
"     “Voddey, voddey,” dooyrt y çhenn ven voght, “greim yn mannan, son nagh darrragh yn mannan harrish y cleiy dy gheddyn yn dossan aalin dy smeir-ghoo.”","     “Dog, dog,” says the poor old woman, “bite the kid, for the kid won’t go over the hedge to get the bonny bunch of blackberries.”",
"     As dooyrt y moddey, “Cha jean.”","     And the dog said, “I won’t.”",
"     Hie ee roee, as haink haink ee dys maidjey.","     So she went her way, and she came to a stick.",
"     “Vaidjey, vaidjey,” dooyrt y çhenn ven voght; “yeeal yn moddey, son nagh jinnagh yn moddey greimmey yn mannan as nagh nagh darragh yn mannan harrish y cleiy dy gheddytn yn dossan aalin dy smeir-ghoo.” ","     “Stick, stick,” says the poor old woman, “beat the dog, for the dog won’t bite the kid, and the kid won’t go over the hedge to get the bonny bunch of blackberries.” ",
     As dooyrt y maidjey. “Cha jean.” ,"And the stick said, “I won’t.”",
"     Hie ee roee, as haink ee dys aile. ","     She went her way, and she came to a fire. ",
